series,algorithm,order,nsets,f_nsets,bound_type,partitioner,mod,del_strategy,window_size,pearson,spearman,RMSE,MAPE,U,time,translation_threshold
2,FIFTS,3,3,3,min-max,knn,nothing,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.3125,0.5
2,FIFTS,3,3,3,min-max,knn,nothing,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.328125,0.25
2,FIFTS,3,3,3,min-max,knn,nothing,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.296875,0.75
2,FIFTS,3,3,3,min-max,uniform,translate,delelete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.625,0.5
2,FIFTS,3,3,3,min-max,uniform,translate,delelete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.640625,0.25
2,FIFTS,3,3,3,min-max,uniform,translate,delelete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.703125,0.75
2,FIFTS,3,3,3,min-max,uniform,translate,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.640625,0.5
2,FIFTS,3,3,3,min-max,uniform,translate,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.640625,0.25
2,FIFTS,3,3,3,min-max,uniform,translate,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.625,0.75
2,FIFTS,3,3,3,min-max,uniform,nothing,delelete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.53125,0.5
2,FIFTS,3,3,3,min-max,uniform,nothing,delelete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.5,0.25
2,FIFTS,3,3,3,min-max,uniform,nothing,delelete_bad,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.53125,0.75
2,FIFTS,3,3,3,min-max,uniform,nothing,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.59375,0.5
2,FIFTS,3,3,3,min-max,uniform,nothing,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.546875,0.25
2,FIFTS,3,3,3,min-max,uniform,nothing,nothing,3.997,0.9996158635964438,0.9994822441250657,0.08375004015442451,0.002682023942161209,0.5131346642259946,0.53125,0.75
2,FIFTS,3,5,5,mu-sigma,knn,translate,delelete_bad,3.997,0.9995187185143382,0.9994713512801433,0.09376792432925232,0.0028911582979235474,0.5442716951811197,0.9375,0.5
2,FIFTS,3,5,5,mu-sigma,knn,translate,delelete_bad,3.997,0.9995187185143382,0.9994713512801433,0.09376792432925232,0.0028911582979235474,0.5442716951811197,0.921875,0.25
2,FIFTS,3,5,5,mu-sigma,knn,translate,delelete_bad,3.997,0.9995187185143382,0.9994713512801433,0.09376792432925232,0.0028911582979235474,0.5442716951811197,0.875,0.75
2,FIFTS,3,5,5,mu-sigma,knn,translate,nothing,3.997,0.9995187185143382,0.9994713512801433,0.09376792432925232,0.0028911582979235474,0.5442716951811197,0.8125,0.5
2,FIFTS,3,5,5,mu-sigma,knn,translate,nothing,3.997,0.9995187185143382,0.9994713512801433,0.09376792432925232,0.0028911582979235474,0.5442716951811197,0.890625,0.25
2,FIFTS,3,5,5,mu-sigma,knn,translate,nothing,3.997,0.9995187185143382,0.9994713512801433,0.09376792432925232,0.0028911582979235474,0.5442716951811197,0.84375,0.75
2,FIFTS,3,5,5,mu-sigma,knn,nothing,delelete_bad,3.997,0.9995052452807243,0.9994652927044052,0.09514875184488018,0.002918680872044589,0.5486726255213533,0.15625,0.5
2,FIFTS,3,5,5,mu-sigma,knn,nothing,delelete_bad,3.997,0.9995052452807243,0.9994652927044052,0.09514875184488018,0.002918680872044589,0.5486726255213533,0.15625,0.25
2,FIFTS,3,5,5,mu-sigma,knn,nothing,delelete_bad,3.997,0.9995052452807243,0.9994652927044052,0.09514875184488018,0.002918680872044589,0.5486726255213533,0.15625,0.75
2,FIFTS,3,5,5,mu-sigma,knn,nothing,nothing,3.997,0.9995052452807243,0.9994652927044052,0.09514875184488018,0.002918680872044589,0.5486726255213533,0.15625,0.5
2,FIFTS,3,5,5,mu-sigma,knn,nothing,nothing,3.997,0.9995052452807243,0.9994652927044052,0.09514875184488018,0.002918680872044589,0.5486726255213533,0.15625,0.25
2,FIFTS,3,5,5,mu-sigma,knn,nothing,nothing,3.997,0.9995052452807243,0.9994652927044052,0.09514875184488018,0.002918680872044589,0.5486726255213533,0.15625,0.75
2,FIFTS,3,5,5,mu-sigma,uniform,translate,delelete_bad,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,1.5952113762254592,0.75,0.5
2,FIFTS,3,5,5,mu-sigma,uniform,translate,delelete_bad,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,1.5952113762254592,0.75,0.25
2,FIFTS,3,5,5,mu-sigma,uniform,translate,delelete_bad,3.997,0.9939227189728924,0.9941084085586338,0.4542576673373848,0.013070961247609175,2.354597810941517,0.75,0.75
2,FIFTS,3,5,5,mu-sigma,uniform,translate,nothing,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,1.5952113762254592,0.8125,0.5
2,FIFTS,3,5,5,mu-sigma,uniform,translate,nothing,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,1.5952113762254592,0.703125,0.25
2,FIFTS,3,5,5,mu-sigma,uniform,translate,nothing,3.997,0.9939227189728924,0.9941084085586338,0.4542576673373848,0.013070961247609175,2.354597810941517,0.78125,0.75
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,delelete_bad,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,1.5952113762254592,0.578125,0.5
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,delelete_bad,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,1.5952113762254592,0.546875,0.25
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,delelete_bad,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,1.5952113762254592,0.578125,0.75
