series,algorithm,order,nsets,bound_type,partitioner,window_size,pearson,spearman,RMSE,MAPE,U,time
2,TVFTS,3,3,min-max,knn,300,0.9843301161418593,0.9831660770325102,0.6228916755174254,0.016539320559830633,6.419678032324515,34.921875
2,TVFTS,3,3,min-max,knn,250,0.9857729824287634,0.984336256716947,0.576286063427429,0.015145979214041252,5.812363942969413,31.3125
2,TVFTS,3,3,min-max,knn,150,0.9888808535568818,0.9862964980988994,0.4673275607466029,0.01290609787570492,4.846852018298389,19.3125
2,TVFTS,3,3,min-max,knn,100,0.9924487658799008,0.9903335060923857,0.38111736560951465,0.010474076745824509,3.9806835863404753,12.828125
2,TVFTS,3,3,min-max,knn,75,0.9941610300025681,0.992582339217657,0.3286782499217572,0.009045414152801837,3.4243648298817355,9.8125
2,TVFTS,3,3,min-max,knn,50,0.9970838265482942,0.9958274873172323,0.23243311816092666,0.006794341761872566,2.5610038321400124,6.796875
2,TVFTS,3,3,min-max,knn,25,0.9990141362129343,0.9985983697554484,0.13417918766629594,0.004204891526258447,1.5738483948853355,3.5625
2,TVFTS,3,3,min-max,knn,10,0.9995556909145965,0.9993936367583194,0.09008181085463603,0.0029071248083050337,1.0845285100483857,1.46875
2,TVFTS,3,3,min-max,knn,5,0.9996199846068233,0.9994926261929765,0.08330254106473507,0.00267703930306681,0.9984534765308984,1.015625
2,TVFTS,3,3,min-max,uniform,300,0.9957190479806706,0.9955792821335594,0.295906230885113,0.007848278134906114,3.0058881605198233,27.625
2,TVFTS,3,3,min-max,uniform,250,0.9962977630887783,0.9959489624692227,0.27145167681673804,0.007419126712280519,2.8278209527598728,23.75
2,TVFTS,3,3,min-max,uniform,150,0.9953805130255,0.9936488935158271,0.29132779623424876,0.008056644690720819,3.028908634560986,14.640625
2,TVFTS,3,3,min-max,uniform,100,0.9956898946109598,0.9950523399838059,0.2810860672519834,0.007145748642379266,2.6750332627593054,10.65625
2,TVFTS,3,3,min-max,uniform,75,0.9960008249386268,0.9951879708623083,0.2698387766225062,0.006908193022520724,2.607851236785243,8.015625
2,TVFTS,3,3,min-max,uniform,50,0.9980188889118199,0.9972652031721568,0.19131530378242154,0.005267125513463548,1.9739448017727599,5.6875
2,TVFTS,3,3,min-max,uniform,25,0.9993130043069891,0.9990741707189933,0.11201307462902606,0.003395224327591916,1.260591030120502,2.984375
2,TVFTS,3,3,min-max,uniform,10,0.9996593046920608,0.9995401574661207,0.07886053616918247,0.0025226254209955944,0.9407099779488441,1.46875
2,TVFTS,3,3,min-max,uniform,5,0.9996762549389635,0.9995643076793652,0.07689610575234808,0.0024663889777055436,0.9195199614450073,0.890625
2,TVFTS,3,5,mu-sigma,knn,300,0.9971314196216587,0.9960850966023553,0.24148628188498913,0.006310463564423862,2.4126951226156845,39.53125
2,TVFTS,3,5,mu-sigma,knn,250,0.997215240736472,0.996139741041692,0.23712166815209143,0.00639061562925645,2.424905686934626,33.265625
2,TVFTS,3,5,mu-sigma,knn,150,0.9972860543738578,0.9963283383433459,0.22723191508896187,0.006840899386612822,2.546674636676153,22.09375
2,TVFTS,3,5,mu-sigma,knn,100,0.9979165848799578,0.9975582040269384,0.19729491083693856,0.005615149732903411,2.118686639645737,15.640625
2,TVFTS,3,5,mu-sigma,knn,75,0.9983510478257146,0.9980134526722823,0.1741478887535935,0.005143093712938373,1.9245158082497489,11.640625
