series,algorithm,order,nsets,f_nsets,bound_type,partitioner,mod,del_strategy,window_size,pearson,spearman,RMSE,MAPE,U,time,translation_threshold, deletion_count
2,FIFTS,3,3,3,mu-sigma,knn,translate,delete_bad,3.997,0.9994542944604254,0.9994485866309313,0.09989642884988441,0.003002791958753174,1.0946506642600302,0.5625,0.5,78
2,FIFTS,3,3,3,mu-sigma,knn,translate,delete_bad,3.997,0.9994542944604254,0.9994485866309313,0.09989642884988441,0.003002791958753174,1.0946506642600302,0.5625,0.25,78
2,FIFTS,3,3,3,mu-sigma,knn,translate,delete_bad,3.997,0.9994542944604254,0.9994485866309313,0.09989642884988441,0.003002791958753174,1.0946506642600302,0.515625,0.75,78
2,FIFTS,3,3,3,mu-sigma,knn,translate,nothing,3.997,0.9994224140543772,0.9994391879184684,0.10296699522570317,0.003060234888415263,1.1122623537254064,0.421875,0.5,0
2,FIFTS,3,3,3,mu-sigma,knn,translate,nothing,3.997,0.9994224140543772,0.9994391879184684,0.10296699522570317,0.003060234888415263,1.1122623537254064,0.453125,0.25,0
2,FIFTS,3,3,3,mu-sigma,knn,translate,nothing,3.997,0.9994224140543772,0.9994391879184684,0.10296699522570317,0.003060234888415263,1.1122623537254064,0.453125,0.75,0
2,FIFTS,3,3,3,mu-sigma,knn,nothing,delete_bad,3.997,0.9994514932385301,0.9994468054450476,0.10014508593684474,0.0030148888057078553,1.0983997059573656,0.328125,0.5,91
2,FIFTS,3,3,3,mu-sigma,knn,nothing,delete_bad,3.997,0.9994514932385301,0.9994468054450476,0.10014508593684474,0.0030148888057078553,1.0983997059573656,0.21875,0.25,91
2,FIFTS,3,3,3,mu-sigma,knn,nothing,delete_bad,3.997,0.9994514932385301,0.9994468054450476,0.10014508593684474,0.0030148888057078553,1.0983997059573656,0.234375,0.75,91
2,FIFTS,3,3,3,mu-sigma,knn,nothing,nothing,3.997,0.9994307894780385,0.9994417103438232,0.10192482367615543,0.003051668114543738,1.109781070860555,0.15625,0.5,0
2,FIFTS,3,3,3,mu-sigma,knn,nothing,nothing,3.997,0.9994307894780385,0.9994417103438232,0.10192482367615543,0.003051668114543738,1.109781070860555,0.15625,0.25,0
2,FIFTS,3,3,3,mu-sigma,knn,nothing,nothing,3.997,0.9994307894780385,0.9994417103438232,0.10192482367615543,0.003051668114543738,1.109781070860555,0.15625,0.75,0
2,FIFTS,3,3,3,mu-sigma,uniform,translate,delete_bad,3.997,0.9890179592174287,0.9898498228093026,0.4715954216008192,0.012975617043075111,5.199644821310856,0.890625,0.5,296
2,FIFTS,3,3,3,mu-sigma,uniform,translate,delete_bad,3.997,0.9890179592174287,0.9898498228093026,0.4715954216008192,0.012975617043075111,5.199644821310856,1.375,0.25,296
2,FIFTS,3,3,3,mu-sigma,uniform,translate,delete_bad,3.997,0.9890147412225843,0.9898497221583765,0.4716158052187044,0.012980817902455317,5.201187813676997,0.96875,0.75,312
2,FIFTS,3,3,3,mu-sigma,uniform,translate,nothing,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,8.798001368442772,0.6875,0.5,0
2,FIFTS,3,3,3,mu-sigma,uniform,translate,nothing,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,8.798001368442772,0.78125,0.25,0
2,FIFTS,3,3,3,mu-sigma,uniform,translate,nothing,3.997,0.9769149351969526,0.9759803805806807,0.810842263615401,0.025754127245907546,9.835921707741276,0.6875,0.75,0
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,delete_bad,3.997,0.9890179592174287,0.9898498228093026,0.4715954216008192,0.012975617043075111,5.199644821310856,0.765625,0.5,296
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,delete_bad,3.997,0.9890179592174287,0.9898498228093026,0.4715954216008192,0.012975617043075111,5.199644821310856,0.765625,0.25,296
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,delete_bad,3.997,0.9890179592174287,0.9898498228093026,0.4715954216008192,0.012975617043075111,5.199644821310856,0.75,0.75,296
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,nothing,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,8.798001368442772,0.734375,0.5,0
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,nothing,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,8.798001368442772,0.609375,0.25,0
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,nothing,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,8.798001368442772,0.640625,0.75,0
2,FIFTS,3,3,3,min-max,knn,translate,delete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.65625,0.5,351
2,FIFTS,3,3,3,min-max,knn,translate,delete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.65625,0.25,351
2,FIFTS,3,3,3,min-max,knn,translate,delete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,45.68733113768241,0.703125,0.75,351
